planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temperature,star_temperature,star_radius,star_mass,distance_pc,right_ascension,declination
11 Com b,11 Com,Radial Velocity,2007,323.21,,4914.89848585,,4874.0,13.76,2.09,93.1846,185.1787793,17.7932516
11 Com b,11 Com,Radial Velocity,2007,326.03,,6165.6,,4742.0,19.0,2.7,93.1846,185.1787793,17.7932516
11 Com b,11 Com,Radial Velocity,2007,,,5434.7,,,,2.6,93.1846,185.1787793,17.7932516
11 UMi b,11 UMi,Radial Velocity,2009,516.21997,,4684.8142,,4213.0,29.79,2.78,125.321,229.2745954,71.8239428
11 UMi b,11 UMi,Radial Velocity,2009,,,3432.4,,,,1.7,125.321,229.2745954,71.8239428
11 UMi b,11 UMi,Radial Velocity,2009,516.22,,3337.07,,4340.0,24.08,1.8,125.321,229.2745954,71.8239428
14 And b,14 And,Radial Velocity,2008,186.76,,1131.15130051,,4888.0,11.55,1.78,75.4392,352.82415,39.2358367
14 And b,14 And,Radial Velocity,2008,185.84,,1525.5,,4813.0,11.0,2.2,75.4392,352.82415,39.2358367
14 And b,14 And,Radial Velocity,2008,,,1017.0,,,,1.2,75.4392,352.82415,39.2358367
14 Her b,14 Her,Radial Velocity,2002,1765.0389,,2559.47216157,,,,0.91,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,,,1440.663,,,,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1724.0,,1554.12,,,,1.0,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1773.4,,1474.67,,,,,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1766.0,,1581.138,,5280.0,1.00235,0.91,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,,,2828.6728223,,,,0.97,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1796.4,,1506.45,,5255.0,,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1773.40002,,1481.0878,,5338.0,0.93,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1766.41,,1541.46777395,,5314.94,0.995819,0.969205,17.9323,242.6021014,43.8163621
16 Cyg B b,16 Cyg B,Radial Velocity,1996,800.8,,476.7,,5760.0,,1.0,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.5,,533.93,,,,,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.45,,556.83536906,,5711.97,1.159464,0.982996,21.1397,295.4656422,50.5168243
